FCS File,plate,row,column,Other Sample Source Information,Sample Description,gene_intron_is_from,intron_number,variant,branch_point,induced_protein,from_glycerol_stock,induction,replicate
122.fcs,1,E,1,v6,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,uninduced,a
123.fcs,1,E,2,v6,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,uninduced,b
124.fcs,1,E,6,v6,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,b
125.fcs,1,E,8,v6,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,b
126.fcs,1,E,9,v6,RPL7B.Intron1.S2,RPL7B,Intron1,S2,wtBP,Rpl7a,True,uninduced,a
127.fcs,1,E,10,v6,RPL7B.Intron1.S2,RPL7B,Intron1,S2,wtBP,Rpl7a,True,uninduced,b
128.fcs,1,E,11,v6,RPL7B.Intron1.S3,RPL7B,Intron1,S3,wtBP,Rpl7a,True,uninduced,a
129.fcs,1,E,12,v6,RPL7B.Intron1.S3,RPL7B,Intron1,S3,wtBP,Rpl7a,True,uninduced,b
130.fcs,1,F,1,v6,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,induced,a
131.fcs,1,F,2,v6,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,induced,b
132.fcs,1,F,6,v6,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,b
133.fcs,1,F,8,v6,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,b
134.fcs,1,F,9,v6,RPL7B.Intron1.S2,RPL7B,Intron1,S2,wtBP,Rpl7a,True,induced,a
135.fcs,1,F,10,v6,RPL7B.Intron1.S2,RPL7B,Intron1,S2,wtBP,Rpl7a,True,induced,b
136.fcs,1,F,11,v6,RPL7B.Intron1.S3,RPL7B,Intron1,S3,wtBP,Rpl7a,True,induced,a
137.fcs,1,F,12,v6,RPL7B.Intron1.S3,RPL7B,Intron1,S3,wtBP,Rpl7a,True,induced,b
138.fcs,1,G,7,v6,RPL7B.Intron1.S2.consensusBP,RPL7B,Intron1,S2,consensusBP,Rpl7a,False,uninduced,a
139.fcs,1,G,8,v6,RPL7B.Intron1.S2.consensusBP,RPL7B,Intron1,S2,consensusBP,Rpl7a,False,uninduced,b
140.fcs,1,G,9,v6,RPL7B.Intron1.S2.consensusBP,RPL7B,Intron1,S2,consensusBP,Rpl7a,False,uninduced,c
141.fcs,1,G,10,v6,RPL7B.Intron1.S3.consensusBP,RPL7B,Intron1,S3,consensusBP,Rpl7a,False,uninduced,a
142.fcs,1,G,11,v6,RPL7B.Intron1.S3.consensusBP,RPL7B,Intron1,S3,consensusBP,Rpl7a,False,uninduced,b
143.fcs,1,G,12,v6,RPL7B.Intron1.S3.consensusBP,RPL7B,Intron1,S3,consensusBP,Rpl7a,False,uninduced,c
144.fcs,1,H,7,v6,RPL7B.Intron1.S2.consensusBP,RPL7B,Intron1,S2,consensusBP,Rpl7a,False,induced,a
145.fcs,1,H,8,v6,RPL7B.Intron1.S2.consensusBP,RPL7B,Intron1,S2,consensusBP,Rpl7a,False,induced,b
146.fcs,1,H,9,v6,RPL7B.Intron1.S2.consensusBP,RPL7B,Intron1,S2,consensusBP,Rpl7a,False,induced,c
147.fcs,1,H,10,v6,RPL7B.Intron1.S3.consensusBP,RPL7B,Intron1,S3,consensusBP,Rpl7a,False,induced,a
148.fcs,1,H,11,v6,RPL7B.Intron1.S3.consensusBP,RPL7B,Intron1,S3,consensusBP,Rpl7a,False,induced,b
149.fcs,1,H,12,v6,RPL7B.Intron1.S3.consensusBP,RPL7B,Intron1,S3,consensusBP,Rpl7a,False,induced,c
150.fcs,1,E,1,v7v8,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,uninduced,a
151.fcs,1,E,2,v7v8,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,uninduced,b
152.fcs,1,E,3,v7v8,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,a
153.fcs,1,E,4,v7v8,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,b
154.fcs,1,E,5,v7v8,RPL7B.Intron1.consensusBP,RPL7B,Intron1,wt,consensusBP,Rpl7a,True,uninduced,a
155.fcs,1,E,6,v7v8,RPL7B.Intron1.consensusBP,RPL7B,Intron1,wt,consensusBP,Rpl7a,True,uninduced,b
156.fcs,1,E,7,v7v8,RPL7B.Intron1.D1,RPL7B,Intron1,D1,wtBP,Rpl7a,False,uninduced,a
157.fcs,1,E,8,v7v8,RPL7B.Intron1.D1,RPL7B,Intron1,D1,wtBP,Rpl7a,False,uninduced,b
158.fcs,1,E,9,v7v8,RPL7B.Intron1.D1,RPL7B,Intron1,D1,wtBP,Rpl7a,False,uninduced,c
159.fcs,1,E,10,v7v8,RPL7B.Intron1.D1.consensusBP,RPL7B,Intron1,D1,consensusBP,Rpl7a,False,uninduced,a
160.fcs,1,E,11,v7v8,RPL7B.Intron1.D1.consensusBP,RPL7B,Intron1,D1,consensusBP,Rpl7a,False,uninduced,b
161.fcs,1,E,12,v7v8,RPL7B.Intron1.D1.consensusBP,RPL7B,Intron1,D1,consensusBP,Rpl7a,False,uninduced,c
162.fcs,1,F,1,v7v8,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,induced,a
163.fcs,1,F,2,v7v8,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,induced,b
164.fcs,1,F,3,v7v8,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,a
165.fcs,1,F,4,v7v8,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,b
166.fcs,1,F,5,v7v8,RPL7B.Intron1.consensusBP,RPL7B,Intron1,wt,consensusBP,Rpl7a,True,induced,a
167.fcs,1,F,6,v7v8,RPL7B.Intron1.consensusBP,RPL7B,Intron1,wt,consensusBP,Rpl7a,True,induced,b
168.fcs,1,F,7,v7v8,RPL7B.Intron1.D1,RPL7B,Intron1,D1,wtBP,Rpl7a,False,induced,a
169.fcs,1,F,8,v7v8,RPL7B.Intron1.D1,RPL7B,Intron1,D1,wtBP,Rpl7a,False,induced,b
170.fcs,1,F,9,v7v8,RPL7B.Intron1.D1,RPL7B,Intron1,D1,wtBP,Rpl7a,False,induced,c
171.fcs,1,F,10,v7v8,RPL7B.Intron1.D1.consensusBP,RPL7B,Intron1,D1,consensusBP,Rpl7a,False,induced,a
172.fcs,1,F,11,v7v8,RPL7B.Intron1.D1.consensusBP,RPL7B,Intron1,D1,consensusBP,Rpl7a,False,induced,b
173.fcs,1,F,12,v7v8,RPL7B.Intron1.D1.consensusBP,RPL7B,Intron1,D1,consensusBP,Rpl7a,False,induced,c
174.fcs,1,G,1,v7v8,RPL7B.Intron1.M1,RPL7B,Intron1,M1,wtBP,Rpl7a,False,uninduced,a
175.fcs,1,G,2,v7v8,RPL7B.Intron1.M1,RPL7B,Intron1,M1,wtBP,Rpl7a,False,uninduced,b
176.fcs,1,G,3,v7v8,RPL7B.Intron1.M1,RPL7B,Intron1,M1,wtBP,Rpl7a,False,uninduced,c
177.fcs,1,G,4,v7v8,RPL7B.Intron1.M1.consensusBP,RPL7B,Intron1,M1,consensusBP,Rpl7a,False,uninduced,a
178.fcs,1,G,5,v7v8,RPL7B.Intron1.M1.consensusBP,RPL7B,Intron1,M1,consensusBP,Rpl7a,False,uninduced,b
179.fcs,1,G,6,v7v8,RPL7B.Intron1.M1.consensusBP,RPL7B,Intron1,M1,consensusBP,Rpl7a,False,uninduced,c
180.fcs,1,G,7,v7v8,RPL7B.Intron1.M1-C1,RPL7B,Intron1,M1-C1,wtBP,Rpl7a,False,uninduced,a
181.fcs,1,G,8,v7v8,RPL7B.Intron1.M1-C1,RPL7B,Intron1,M1-C1,wtBP,Rpl7a,False,uninduced,b
182.fcs,1,G,9,v7v8,RPL7B.Intron1.M1-C1,RPL7B,Intron1,M1-C1,wtBP,Rpl7a,False,uninduced,c
183.fcs,1,G,10,v7v8,RPL7B.Intron1.M1-C1.consensusBP,RPL7B,Intron1,M1-C1,consensusBP,Rpl7a,False,uninduced,a
184.fcs,1,G,11,v7v8,RPL7B.Intron1.M1-C1.consensusBP,RPL7B,Intron1,M1-C1,consensusBP,Rpl7a,False,uninduced,b
185.fcs,1,G,12,v7v8,RPL7B.Intron1.M1-C1.consensusBP,RPL7B,Intron1,M1-C1,consensusBP,Rpl7a,False,uninduced,c
186.fcs,1,H,1,v7v8,RPL7B.Intron1.M1,RPL7B,Intron1,M1,wtBP,Rpl7a,False,induced,a
187.fcs,1,H,2,v7v8,RPL7B.Intron1.M1,RPL7B,Intron1,M1,wtBP,Rpl7a,False,induced,b
188.fcs,1,H,3,v7v8,RPL7B.Intron1.M1,RPL7B,Intron1,M1,wtBP,Rpl7a,False,induced,c
189.fcs,1,H,4,v7v8,RPL7B.Intron1.M1.consensusBP,RPL7B,Intron1,M1,consensusBP,Rpl7a,False,induced,a
190.fcs,1,H,5,v7v8,RPL7B.Intron1.M1.consensusBP,RPL7B,Intron1,M1,consensusBP,Rpl7a,False,induced,b
191.fcs,1,H,6,v7v8,RPL7B.Intron1.M1.consensusBP,RPL7B,Intron1,M1,consensusBP,Rpl7a,False,induced,c
192.fcs,1,H,7,v7v8,RPL7B.Intron1.M1-C1,RPL7B,Intron1,M1-C1,wtBP,Rpl7a,False,induced,a
193.fcs,1,H,8,v7v8,RPL7B.Intron1.M1-C1,RPL7B,Intron1,M1-C1,wtBP,Rpl7a,False,induced,b
194.fcs,1,H,9,v7v8,RPL7B.Intron1.M1-C1,RPL7B,Intron1,M1-C1,wtBP,Rpl7a,False,induced,c
195.fcs,1,H,10,v7v8,RPL7B.Intron1.M1-C1.consensusBP,RPL7B,Intron1,M1-C1,consensusBP,Rpl7a,False,induced,a
196.fcs,1,H,11,v7v8,RPL7B.Intron1.M1-C1.consensusBP,RPL7B,Intron1,M1-C1,consensusBP,Rpl7a,False,induced,b
197.fcs,1,H,12,v7v8,RPL7B.Intron1.M1-C1.consensusBP,RPL7B,Intron1,M1-C1,consensusBP,Rpl7a,False,induced,c
198.fcs,1,A,1,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,a
199.fcs,1,A,2,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,b
200.fcs,1,A,3,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,c
201.fcs,1,A,4,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,d
202.fcs,1,A,5,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,e
203.fcs,1,A,6,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,f
204.fcs,1,A,7,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,g
205.fcs,1,A,8,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,h
